Metropolitan/Micropolitan Statistical Area,County/County Equivalent,State Name,FIPS State Code,FIPS County Code
Micropolitan Statistical Area,Brown County,South Dakota,46,013
Micropolitan Statistical Area,Edmunds County,South Dakota,46,045
Micropolitan Statistical Area,Grays Harbor County,Washington,53,027
Metropolitan Statistical Area,Callahan County,Texas,48,059
Metropolitan Statistical Area,Jones County,Texas,48,253
Metropolitan Statistical Area,Taylor County,Texas,48,441
Micropolitan Statistical Area,Pontotoc County,Oklahoma,40,123
Micropolitan Statistical Area,Lenawee County,Michigan,26,091
Metropolitan Statistical Area,Aguada Municipio,Puerto Rico,72,003
Metropolitan Statistical Area,Aguadilla Municipio,Puerto Rico,72,005
Metropolitan Statistical Area,Añasco Municipio,Puerto Rico,72,011
Metropolitan Statistical Area,Isabela Municipio,Puerto Rico,72,071
Metropolitan Statistical Area,Lares Municipio,Puerto Rico,72,081
Metropolitan Statistical Area,Moca Municipio,Puerto Rico,72,099
Metropolitan Statistical Area,Rincón Municipio,Puerto Rico,72,117
Metropolitan Statistical Area,San Sebastián Municipio,Puerto Rico,72,131
Metropolitan Statistical Area,Utuado Municipio,Puerto Rico,72,141
Metropolitan Statistical Area,Portage County,Ohio,39,133
Metropolitan Statistical Area,Summit County,Ohio,39,153
Micropolitan Statistical Area,Otero County,New Mexico,35,035
Metropolitan Statistical Area,Dougherty County,Georgia,13,095
Metropolitan Statistical Area,Lee County,Georgia,13,177
Metropolitan Statistical Area,Terrell County,Georgia,13,273
Metropolitan Statistical Area,Worth County,Georgia,13,321
Metropolitan Statistical Area,Linn County,Oregon,41,043
Metropolitan Statistical Area,Albany County,New York,36,001
Metropolitan Statistical Area,Rensselaer County,New York,36,083
Metropolitan Statistical Area,Saratoga County,New York,36,091
Metropolitan Statistical Area,Schenectady County,New York,36,093
Metropolitan Statistical Area,Schoharie County,New York,36,095
Micropolitan Statistical Area,Stanly County,North Carolina,37,167
Micropolitan Statistical Area,Freeborn County,Minnesota,27,047
Micropolitan Statistical Area,Marshall County,Alabama,01,095
Metropolitan Statistical Area,Bernalillo County,New Mexico,35,001
Metropolitan Statistical Area,Sandoval County,New Mexico,35,043
Metropolitan Statistical Area,Torrance County,New Mexico,35,057
Metropolitan Statistical Area,Valencia County,New Mexico,35,061
Micropolitan Statistical Area,Coosa County,Alabama,01,037
Micropolitan Statistical Area,Tallapoosa County,Alabama,01,123
Metropolitan Statistical Area,Grant Parish,Louisiana,22,043
Metropolitan Statistical Area,Rapides Parish,Louisiana,22,079
Micropolitan Statistical Area,Douglas County,Minnesota,27,041
Micropolitan Statistical Area,Duval County,Texas,48,131
Micropolitan Statistical Area,Jim Wells County,Texas,48,249
Metropolitan Statistical Area,Warren County,New Jersey,34,041
Metropolitan Statistical Area,Carbon County,Pennsylvania,42,025
Metropolitan Statistical Area,Lehigh County,Pennsylvania,42,077
Metropolitan Statistical Area,Northampton County,Pennsylvania,42,095
Micropolitan Statistical Area,Gratiot County,Michigan,26,057
Micropolitan Statistical Area,Alpena County,Michigan,26,007
Metropolitan Statistical Area,Blair County,Pennsylvania,42,013
Micropolitan Statistical Area,Jackson County,Oklahoma,40,065
Metropolitan Statistical Area,Armstrong County,Texas,48,011
Metropolitan Statistical Area,Carson County,Texas,48,065
Metropolitan Statistical Area,Oldham County,Texas,48,359
Metropolitan Statistical Area,Potter County,Texas,48,375
Metropolitan Statistical Area,Randall County,Texas,48,381
Micropolitan Statistical Area,Schley County,Georgia,13,249
Micropolitan Statistical Area,Sumter County,Georgia,13,261
Metropolitan Statistical Area,Boone County,Iowa,19,015
Metropolitan Statistical Area,Story County,Iowa,19,169
Micropolitan Statistical Area,Montgomery County,New York,36,057
Metropolitan Statistical Area,Anchorage Municipality,Alaska,02,020
Metropolitan Statistical Area,Matanuska-Susitna Borough,Alaska,02,170
Micropolitan Statistical Area,Andrews County,Texas,48,003
Micropolitan Statistical Area,Steuben County,Indiana,18,151
Metropolitan Statistical Area,Washtenaw County,Michigan,26,161
Metropolitan Statistical Area,Calhoun County,Alabama,01,015
Metropolitan Statistical Area,Calumet County,Wisconsin,55,015
Metropolitan Statistical Area,Outagamie County,Wisconsin,55,087
Micropolitan Statistical Area,DeSoto County,Florida,12,027
Micropolitan Statistical Area,Carter County,Oklahoma,40,019
Micropolitan Statistical Area,Love County,Oklahoma,40,085
Metropolitan Statistical Area,Arecibo Municipio,Puerto Rico,72,013
Metropolitan Statistical Area,Camuy Municipio,Puerto Rico,72,027
Metropolitan Statistical Area,Hatillo Municipio,Puerto Rico,72,065
Metropolitan Statistical Area,Quebradillas Municipio,Puerto Rico,72,115
Micropolitan Statistical Area,Clark County,Arkansas,05,019
Metropolitan Statistical Area,Buncombe County,North Carolina,37,021
Metropolitan Statistical Area,Haywood County,North Carolina,37,087
Metropolitan Statistical Area,Henderson County,North Carolina,37,089
Metropolitan Statistical Area,Madison County,North Carolina,37,115
Micropolitan Statistical Area,Ashland County,Ohio,39,005
Micropolitan Statistical Area,Ashtabula County,Ohio,39,007
Micropolitan Statistical Area,Clatsop County,Oregon,41,007
Micropolitan Statistical Area,Atchison County,Kansas,20,005
Micropolitan Statistical Area,Athens County,Ohio,39,009
Micropolitan Statistical Area,McMinn County,Tennessee,47,107
Micropolitan Statistical Area,Henderson County,Texas,48,213
Metropolitan Statistical Area,Clarke County,Georgia,13,059
Metropolitan Statistical Area,Madison County,Georgia,13,195
Metropolitan Statistical Area,Oconee County,Georgia,13,219
Metropolitan Statistical Area,Oglethorpe County,Georgia,13,221
Metropolitan Statistical Area,Barrow County,Georgia,13,013
Metropolitan Statistical Area,Bartow County,Georgia,13,015
Metropolitan Statistical Area,Butts County,Georgia,13,035
Metropolitan Statistical Area,Carroll County,Georgia,13,045
Metropolitan Statistical Area,Cherokee County,Georgia,13,057
Metropolitan Statistical Area,Clayton County,Georgia,13,063
Metropolitan Statistical Area,Cobb County,Georgia,13,067
Metropolitan Statistical Area,Coweta County,Georgia,13,077
Metropolitan Statistical Area,Dawson County,Georgia,13,085
Metropolitan Statistical Area,DeKalb County,Georgia,13,089
Metropolitan Statistical Area,Douglas County,Georgia,13,097
Metropolitan Statistical Area,Fayette County,Georgia,13,113
Metropolitan Statistical Area,Forsyth County,Georgia,13,117
Metropolitan Statistical Area,Fulton County,Georgia,13,121
Metropolitan Statistical Area,Gwinnett County,Georgia,13,135
Metropolitan Statistical Area,Haralson County,Georgia,13,143
Metropolitan Statistical Area,Heard County,Georgia,13,149
Metropolitan Statistical Area,Henry County,Georgia,13,151
Metropolitan Statistical Area,Jasper County,Georgia,13,159
